CODE_UAI;NUM_SIRET;CODE_ACADEMIE;ACADEMIE;DEPARTEMENT;SIGLE_UAI;NATURE_UAI;PATRONYME;NOM_ETABLISSEMENT;STATUT;CONTRAT_ETABLISSEMENT;ADRESSE_POSTALE;CODE_POSTAL;CODE_INSEE;COMMUNE;TELEPHONE;FAX;SITE_WEB;MAIL;MINISTERE_TUTELLE;INTERNAT;ANNEE_CONSTRUCTION;DATE_MAJ;GEO
0912142J;19910633700017;025;Versailles;91;LPO LYC METIER;lycée polyvalent;GASPARD-MONGE;Lycée polyvalent Gaspard Monge, lycée des métiers de l'automobile et de la logistique;public;;1 place Gaspard Monge;91600;91589;Savigny-sur-Orge;0169054743;0169057666;http://www.lyc-monge-savigny.ac-versailles.fr/;ce.0912142J@ac-versailles.fr;Éducation nationale;;1996;2026-03-12;48.68574491605321, 2.346583013676203
0940118T;19940118300017;024;Créteil;94;LPO LYC METIER;lycée polyvalent;LOUIS-ARMAND;Lycée polyvalent L Armand - Lycée des métiers;public;;173 boulevard DE STRASBOURG;94130;94052;Nogent-sur-Marne;0145142828;0145142855;https://www.larmand.fr/;ce.0940118T@ac-creteil.fr;Éducation nationale;;1960;2026-01-22;48.8467161140249, 2.4913060633969635
0783657B;78512433000016;025;Versailles;78;LGT PR;lycée d'enseignement général et technologique;SAINT-AUGUSTIN;Lycée général et technologique privé Saint-Augustin;privé;lycée privé sous contrat Éducation nationale;39 rue Grande Fontaine;78100;78551;Saint-Germain-en-Laye;0134510849;;;ce.0783657b@ac-versailles.fr;Éducation nationale;;;2026-03-12;48.89694998070632, 2.0856612993081693
0783350T;78515054100015;025;Versailles;78;LGT PR;lycée d'enseignement général et technologique;SAINT-JEAN-HULST;Lycée général et technologique privé Saint Jean et Hulst;privé;lycée privé sous contrat Éducation nationale;26 rue Mal de lattre de Tassigny;78000;78646;Versailles;0139541126;0139552811;;ce.0783350T@ac-versailles.fr;Éducation nationale;;;2026-03-12;48.81813200271438, 2.1368614459250304
0910823A;78525809600011;025;Versailles;91;LGT PR;lycée d'enseignement général et technologique;ILE-DE-FRANCE;Lycée général et technologique privé, Institution Saint Vincent de Paul;privé;lycée privé sous contrat Éducation nationale;7 rue du Baron de Nivière;91140;91661;Villebon-sur-Yvette;0160101646;;http://www.college-lycee-idf91.fr;ce.0910823A@ac-versailles.fr;Éducation nationale;;;2026-03-12;48.700506906837795, 2.25492760373599
0950785M;78591041500013;025;Versailles;95;LGT PR;lycée d'enseignement général et technologique;NOTRE-DAME-SAINTE-FAMILLE;Lycée général et technologique privé Notre-Dame;privé;lycée privé sous contrat Éducation nationale;106 boulevard Charles de Gaulle;95110;95582;Sannois;0139812298;0139812587;;ce.0950785M@ac-versailles.fr;Éducation nationale;;;2026-03-12;48.97393882097288, 2.2546574185721426
0754666P;40483807000013;001;Paris;75;LGT PR;lycée d'enseignement général et technologique;PASSY-SAINT-HONORÉ;Lycée général et technologique privé Passy-Saint Honoré;privé;lycée privé sous contrat Éducation nationale;117 avenue Victor Hugo;75016;75116;Paris 16e Arrondissement;0153701270;0145531885;http://www.passy-st-honore.com/;ce.0754666P@ac-paris.fr;Éducation nationale;;;2026-03-12;48.86828312308159, 2.2823886440743166
0750787Y;19750787400018;001;Paris;75;LP;lycée professionnel;ARTS-GRAPHIQUES;Lycée professionnel Corvisart-Arts Graphiques;public;;61 rue CORVISART;75013;75113;Paris 13e Arrondissement;0144086500;0145350390;https://lycee-corvisart-tolbiac.fr/;ce.0750787Y@ac-paris.fr;Éducation nationale;;1950;2026-01-16;48.83037686355069, 2.3488965315970085
0752845K;19752845800015;001;Paris;75;LP;lycée professionnel;THEOPHILE-GAUTIER;Lycée professionnel Théophile Gautier;public;;6BIS PLACE DES VOSGES;75004;75104;Paris 4e Arrondissement;0143071210;0143073852;https://www.ac-paris.fr/serail/jcms/s1_1625453/fr/lycee-professionnel-theophile-gautier;ce.0752845K@ac-paris.fr;Éducation nationale;;1889;2025-07-08;48.85479962560322, 2.3662556819655713
0750692V;19750692600017;001;Paris;75;LGT;lycée d'enseignement général et technologique;EMILE-DUBOIS;Lycée général et technologique Emile Dubois;public;;14 rue Emile Dubois;75014;75114;Paris 14e Arrondissement;0144168590;0144168599;https://www.ac-paris.fr/serail/jcms/s2_271256/fr/accueil;ce.0750692V@ac-paris.fr;Éducation nationale;;;2026-03-12;48.83176633760908, 2.3369360393461895
0911021R;19911021400012;025;Versailles;91;LGT;lycée d'enseignement général et technologique;TALMA;Lycée général et technologique François-Joseph Talma;public;;1 rue des Cerfs;91805;91114;Brunoy;0160465706;0160465673;http://www.lyc-talma-brunoy.ac-versailles.fr/;ce.0911021R@ac-versailles.fr;Éducation nationale;;1970;2026-03-12;48.693086898317304, 2.502522287814262
0921555R;19921555900014;025;Versailles;92;LGT;lycée d'enseignement général et technologique;JACQUES-MONOD;Lycée général et technologique Jacques Monod;public;;46 rue du Fort;92140;92023;Clamart;0146453133;0146459114;http://www.lyc-monod-clamart.ac-versailles.fr/;ce.0921555R@ac-versailles.fr;Éducation nationale;;1973;2026-03-12;48.795722455928356, 2.2727560299133684
0950648N;19950648600018;025;Versailles;95;LGT;lycée d'enseignement général et technologique;JEAN-JACQUES-ROUSSEAU;Lycée général et technologique Jean-Jacques Rousseau;public;;20 rue de Jaigny;95160;95428;Montmorency;0134051250;0134125115;http://www.lyc-rousseau-montmorency.ac-versailles.fr/;ce.0950648N@ac-versailles.fr;Éducation nationale;;1965;2026-03-12;48.99019475964912, 2.3176988452567544
0782563M;19782563100017;025;Versailles;78;LGT;lycée d'enseignement général et technologique;LA-BRUYÈRE;Lycée général et technologique La Bruyère;public;;31 avenue de Paris;78000;78646;Versailles;0139500437;0139516801;http://www.lyc-labruyere-versailles.ac-versailles.fr/;ce.0782563M@ac-versailles.fr;Éducation nationale;Oui;1895;2026-03-05;48.80106442786684, 2.137439326016222
0750653C;19750653800010;001;Paris;75;LGT;lycée d'enseignement général et technologique;SOPHIE-GERMAIN;Lycée général et technologique Sophie Germain;public;;9 rue DE JOUY;75004;75104;Paris 4e Arrondissement;0144548154;0140299075;https://lyc-sophie-germain.ac-paris.fr;ce.0750653C@ac-paris.fr;Éducation nationale;;1888;2026-01-26;48.85485829556443, 2.358196233724338
0771512A;19771512100012;024;Créteil;77;LGT;lycée d'enseignement général et technologique;VAN-DONGEN;Lycée général et technologique Van Dongen;public;;45 rue JEAN MERMOZ;77400;77243;Lagny-sur-Marne;0164023011;0164309027;https://www.lyceevandongen.fr/;ce.0771512A@ac-creteil.fr;Éducation nationale;;1973;2026-03-12;48.86783583652336, 2.719144935356008
0754030Y;78430857900027;001;Paris;75;LPO PR;lycée polyvalent;ALBERT-DE-MUN;Lycée polyvalent privé Albert de Mun;privé;lycée privé sous contrat Éducation nationale;2 rue d'Olivet;75007;75107;Paris 7e Arrondissement;0143063309;0140650190;https://www.albertdemun.eu/;ce.0754030Y@ac-paris.fr;Éducation nationale;;;2026-03-12;48.8497226239239, 2.319715372444925
0910838S;78526611500035;025;Versailles;91;LPO PR;lycée polyvalent;BETH-RIVKAH;Lycée polyvalent privé Beth Rivkah;privé;lycée privé sous contrat Éducation nationale;43 rue Raymond Poincaré;91330;91691;Yerres;0169496262;0169493661;;ce.0910838s@ac-versailles.fr;Éducation nationale;;;2026-03-12;48.71075069348924, 2.499770465788787
0754042L;78454451200014;001;Paris;75;LPO PR;lycée polyvalent;LE-REBOURS;Lycée polyvalent privé Le Rebours;privé;lycée privé sous contrat Éducation nationale;44 boulevard Auguste-Blanqui;75013;75113;Paris 13e Arrondissement;0155432888;0143361757;http://www.lerebours.info/;ce.0754042L@ac-paris.fr;Éducation nationale;;;2026-03-12;48.83014424738715, 2.3504442169888615
0920143F;19920143500021;025;Versailles;92;LG;lycée d'enseignement général;FOLIE-SAINT-JAMES (LA);Lycée d'enseignement général La Folie Saint-James;public;;41 rue DE LONGCHAMP;92200;92051;Neuilly-sur-Seine;0147477904;0147478219;http://blog.ac-versailles.fr/lyceelafoliesaintjames/;ce.0920143F@ac-versailles.fr;Éducation nationale;;2006;2026-02-10;48.882568301003424, 2.2558738629556756
0753947H;83962372500018;001;Paris;75;LG PR;lycée d'enseignement général;SAINT-JEAN-DE-PASSY;Lycée privé Saint Jean de Passy;privé;lycée privé sous contrat Éducation nationale;72 rue Raynouard;75016;75116;Paris 16e Arrondissement;0144302600;0142305193;http://www.saintjeandepassy.fr/;ce.0753947h@paris.fr;Éducation nationale;;;2026-03-12;48.85447862868612, 2.278449219026048
0754860A;78430835500014;001;Paris;75;LG PR;lycée d'enseignement général;SAINT-FRANCOIS-DE-SALES-THÉRÈSE-CHAPPUIS;Lycée privé Saint François de Sales - Thérèse Chappuis;privé;lycée privé sous contrat Éducation nationale;52 rue Vaneau;75007;75107;Paris 7e Arrondissement;0153632635;0153632636;http://www.theresechappuis.fr;ce.0754860A@ac-paris.fr;Éducation nationale;;;2026-03-12;48.851006876358404, 2.319235258056297
0922691A;4434573120033;025;Versailles;92;LG PR;lycée d'enseignement général;HAUTEFEUILLE;Lycée d'enseignement général privé Hautefeuille;privé;lycée privé sous contrat Éducation nationale;26 rue Pierre Joigneaux;92270;92009;Bois-Colombes;0143332402;;;ce.0922691A@ac-versailles.fr;Éducation nationale;;;2026-03-12;48.91044287097056, 2.2690015503989907
0932303Y;78564689400036;024;Créteil;93;LG PR;lycée d'enseignement général;MERKAZ-HATORAH (FILLES);Lycée général privé Merkaz Hatorah Filles;privé;lycée privé sous contrat Éducation nationale;67 boulevard du Midi;93340;93062;Le Raincy;0143029579;;;ce.0932303Y@ac-creteil.fr;Éducation nationale;;;2026-03-12;48.89449706518838, 2.525164597282938
0930965U;78556627400029;024;Créteil;93;LG PR;lycée d'enseignement général;HENRI-MATISSE;Lycée général privé Henri Matisse;privé;lycée privé sous contrat Éducation nationale;88 bis rue Jules Guesde;93100;93048;Montreuil;0145284470;;;ce.0930965U@ac-creteil.fr;Éducation nationale;;;2026-03-12;48.86281515047436, 2.4791633334343453
0771720B;77570279800031;024;Créteil;77;LG PR;lycée d'enseignement général;GUY-GASNIER-SAINTE-BATHILDE;Lycée général privé Guy Gasnier-Sainte Bathilde;privé;lycée privé sous contrat Éducation nationale;28 rue du tir;77500;77108;Chelles;0160205301;;;ce.0771720B@ac-creteil.fr;Éducation nationale;;;2026-03-12;48.889339722843836, 2.5963100707460804
0941943B;77567877400164;024;Créteil;94;LG PR;lycée d'enseignement général;OZAR-HATORAH (GARCONS);Lycée général privé Ozar Hatorah Garçons;privé;lycée privé sous contrat Éducation nationale;2 voie Félix Eboué;94000;94028;Créteil;0142075405;;;ce.0941943B@ac-creteil.fr;Éducation nationale;;;2026-03-12;48.79828270934197, 2.4505145794831087
0753919C;69204166800017;001;Paris;75;LG PR;lycée d'enseignement général;PASCAL;Lycée privé Pascal;privé;lycée privé sous contrat Éducation nationale;33 boulevard Lannes;75016;75116;Paris 16e Arrondissement;0145041423;0145043038;http://www.ecolepascal.fr/;ce.0753919C@ac-paris.fr;Éducation nationale;;;2026-03-12;48.866983856863335, 2.272160625097879
0932370W;78548496500013;024;Créteil;93;SEP PR;Section d’enseignement professionnel;PROTECTORAT-SAINT-JOSEPH (SEP);Section d'Enseignement Professionnel Protectorat Saint Joseph;privé;autres établissements;36 rue Jacques Duclos;93600;93005;Aulnay-sous-Bois;0148661041;;;ce.0932370W@ac-creteil.fr;Éducation nationale;;;2026-03-12;48.949788241300666, 2.48962070496612
0754029X;78428100800010;001;Paris;75;LPO PR METIER;lycée polyvalent;CARCADO-SAISSEVAL;Lycée polyvalent privé Carcado Saisseval - Lycée des métiers du management, du commerce, des services et soins à la personne;privé;lycée privé sous contrat Éducation nationale;121 boulevard Raspail;75006;75106;Paris 6e Arrondissement;0145484346;0145443191;http://www.carcado-saisseval.com/;contact@carcado-saisseval.com;Éducation nationale;;;2026-03-12;48.84534298167878, 2.328835466682555
0750707L;19750707200019;001;Paris;75;LT;lycée d'enseignement technologique;"ÉCOLE-NATIONALE-DE-COMMERCE Bessières""""";Lycée technologique Ecole Nationale de Commerce;public;;70 boulevard Bessières;75017;75117;Paris 17e Arrondissement;0144858500;0144858566;http://enc-bessieres.org/2012/index.php;ce.0750707L@ac-paris.fr;Éducation nationale;;;2026-03-12;48.89725568365589, 2.3207037852287247
0920147K;19920147600017;025;Versailles;92;LGT;lycée d'enseignement général et technologique;PAUL-LANGEVIN;Lycée général et technologique Paul Langevin;public;;2 rue PAYRET DORTAIL;92150;92073;Suresnes;0147722013;0140990533;http://www.lyc-langevin-suresnes.ac-versailles.fr/;ce.0920147K@ac-versailles.fr;Éducation nationale;;1930;2024-05-31;48.87743160482891, 2.22266982663959
0910625K;19910625300016;025;Versailles;91;LGT;lycée d'enseignement général et technologique;ROSA-PARKS;Lycée général et technologique Rosa Parks;public;;2 place DE L EUROPE;91230;91421;Montgeron;0169035336;0169032131;http://www.lyc-rosaparks-montgeron.ac-versailles.fr/;ce.0910625K@ac-versailles.fr;Éducation nationale;;1830;2026-01-14;48.704853889908485, 2.453640007118009
0911927A;19911927200011;025;Versailles;91;LGT;lycée d'enseignement général et technologique;MAURICE-ELIOT;Lycée général et technologique Maurice Eliot;public;;Rue de Provence;91860;91215;Épinay-sous-Sénart;0160471907;0169437383;http://www.lyc-eliot-epinay-senart.ac-versailles.fr/;ce.0911927A@ac-versailles.fr;Éducation nationale;;1969;2026-03-12;48.699103606752416, 2.52372351610206
0772188K;19772188900016;024;Créteil;77;LGT;lycée d'enseignement général et technologique;PIERRE-MENDÈS-FRANCE;Lycée général et technologique Pierre Mendès France;public;;11 avenue de l'Europe;77176;77445;Savigny-le-Temple;0164410920;0160630919;;ce.0772188K@ac-creteil.fr;Éducation nationale;;1988;2026-03-12;48.596423943238705, 2.5770936432589657
0921594H;19921594800019;025;Versailles;92;LGT;lycée d'enseignement général et technologique;MICHEL-ANGE;Lycée général et technologique Michel Ange;public;;2 avenue Georges Pompidou;92390;92078;Villeneuve-la-Garenne;0141476770;0147923230;https://lyceemichelangevlg.wixsite.com/lyceemichelangevlg;ce.0921594H@ac-versailles.fr;Éducation nationale;;2008;2026-03-12;48.94096986852866, 2.326914950429712
0772294A;19772294500031;024;Créteil;77;LGT;lycée d'enseignement général et technologique;EMILY-BRONTË;Lycée général et technologique Emily Brontë;public;;1 ESPLANADE FRANCOIS MITTERAND;77185;77258;Lognes;0160370415;0164620913;https://www.lyceebrontelognes.websco.fr/index.php;ce.0772294A@ac-creteil.fr;Éducation nationale;;2019;2026-03-12;48.83952918117187, 2.648902400842065
0932654E;78563812300048;024;Créteil;93;LG PR;lycée d'enseignement général;SAINTE-MARIE;Lycée général privé Sainte Marie;privé;lycée privé sous contrat Éducation nationale;7 rue Jean Chardavoine;93240;93072;Stains;0148266744;;;ce.0932654e@ac-creteil.fr;Éducation nationale;;;2026-03-12;48.95551878516793, 2.384384486151566
0930961P;33525992500030;024;Créteil;93;LG PR;lycée d'enseignement général;ESPERANCE (L');Lycée général privé Espérance;privé;lycée privé sous contrat Éducation nationale;35 avenue Anatole France;93600;93005;Aulnay-sous-Bois;0148198910;;;ce.0930961p@ac-creteil.fr;Éducation nationale;;;2026-03-12;48.93507748170272, 2.493739822965016
0750784V;19750784100017;001;Paris;75;LP;lycée professionnel;METIERS-DE-L'AMEUBLEMENT;Lycée professionnel Métiers de l'Ameublement;public;;9 rue PIERRE BOURDAN;75012;75112;Paris 12e Arrondissement;0144676967;0143714207;http://www.ecole-boulle.org/;ce.0750784V@ac-paris.fr;Éducation nationale;;1886;2026-01-27;48.84675109836026, 2.3915084460464024
0942531R;20010063400027;024;Créteil;94;LPO;lycée polyvalent;NOUVEAU LYCÉE DE VINCENNES;Nouveau Lycée de Vincennes;public;;106 rue de la Jarry;94300;94080;Vincennes;01 43 74 19 65;;;ce.0942531R@ac-creteil.fr;Éducation nationale;;2024;2026-01-13;48.8496097281551, 2.448567030724825
0932118X;19931205900017;024;Créteil;93;LPO;lycée polyvalent;JEAN-MOULIN;Lycée polyvalent Jean Moulin;public;;2 avenue Charles de Gaulle;93150;93007;Le Blanc-Mesnil;0145919360;0145919365;https://jeanmoulinlbm.wordpress.com/;ce.0932118X@ac-creteil.fr;Éducation nationale;;1971;2026-03-04;48.94360563734647, 2.468681946930074
0781951X;19781951900012;025;Versailles;78;LPO;lycée polyvalent;LEOPOLD-SÉDAR-SENGHOR;Lycée polyvalent Sedar Senghor;public;;Place Pierre Bérégovoy;78200;78354;Magnanville;0130983770;0130983786;http://www.lyc-senghor-magnanville.ac-versailles.fr/;ce.0781951X@ac-versailles.fr;Éducation nationale;;1993;2026-03-12;48.9650147073426, 1.683428519424867
0910975R;19910975200014;025;Versailles;91;LPO;lycée polyvalent;JEAN-PIERRE-TIMBAUD;Lycée polyvalent Jean-Pierre Timbaud;public;;4 rue Henri Douard;91220;91103;Brétigny-sur-Orge;0160855000;0160855050;http://www.lyc-timbaud-bretigny.fr/;ce.0910975R@ac-versailles.fr;Éducation nationale;Oui;1970;2026-03-12;48.609583739539495, 2.312835433698756
0772295B;19772295200011;024;Créteil;77;LPO;lycée polyvalent;TOUR-DES-DAMES (DE LA);Lycée polyvalent la Tour des Dames;public;;Rue DE VILPRES;77540;77393;Rozay-en-Brie;0164425282;0164429923;https://www.lyceelatourdesdames.fr/;ce.0772295B@ac-creteil.fr;Éducation nationale;;1993;2026-03-12;48.6794389507492, 2.964056166580102
0771940R;19771940400018;024;Créteil;77;LPO;lycée polyvalent;SIMONE-VEIL;Lycée polyvalent Simone Veil;public;;1 avenue Pierre Mendès France;77186;77337;Noisiel;0160375300;0160375309;https://lyceesimoneveil.fr/;ce.0771940R@ac-creteil.fr;Éducation nationale;;1981;2026-03-12;48.8407880173237, 2.6163182274782533
0912364A;20007515800010;025;Versailles;91;LPO;lycée polyvalent;NIKOLA-TESLA;Lycée polyvalent Nikola Tesla;public;;15/21 Chemin DU CHAMP DE COURSES;91410;91200;Dourdan;0164593900;;http://www.lyc-tesla-dourdan.ac-versailles.fr/;ce.0912364A@ac-versailles.fr;Éducation nationale;;;2026-03-12;48.53430077972147, 1.9901027277715995
0932367T;78562097200022;024;Créteil;93;SEP PR;Section d’enseignement professionnel;SAINT-DENIS (La Salle) (SEP);Section d'Enseignement Professionnel Jean-Baptiste de la Salle;privé;autres établissements;6 place de la Résistance;93200;93066;Saint-Denis;0155874500;;;ce.0932367T@ac-creteil.fr;Éducation nationale;;;2026-03-12;48.93281417844132, 2.3550342810074176
0920916W;34066226100049;025;Versailles;92;LGT PR;lycée d'enseignement général et technologique;LA-SOURCE;Lycée général et technologique privé La Source;privé;lycée privé sous contrat Éducation nationale;11 rue Ernest Renan;92190;92048;Meudon;0146269988;0145341161;;ce.0920916W@ac-versailles.fr;Éducation nationale;;;2026-03-12;48.81878618133709, 2.226673914167511
0772954T;;024;Créteil;77;LGT PR;lycée d'enseignement général et technologique;SAINT-COLOMBAN;Lycée Général et Technologique privé Saint-Colomban;privé;lycée privé sous contrat Éducation nationale;2 rue de Malte;77700;77449;Serris;0164631724;;;ce.0772954T@ac-creteil.fr;Éducation nationale;;;2026-03-12;48.84856810835654, 2.7888436704201047
0920981S;77568879900078;025;Versailles;92;LP PR;lycée professionnel;SAINT-PHILIPPE (Apprentis d'Auteuil);Lycée professionnel privé Saint Philippe;privé;lycée privé sous contrat Éducation nationale;1 rue du Père Brottier;92190;92048;Meudon;0146236208;0146236272;;ce.0920981S@ac-versailles.fr;Éducation nationale;;;2026-03-12;48.8067099120892, 2.2468119715204935
0750704H;19750704900017;001;Paris;75;LG;lycée d'enseignement général;CARNOT;Lycée général Carnot;public;;145 BOULEVARD MALESHERBES;75017;75117;Paris 17e Arrondissement;0156213636;0156213637;https://www.ac-paris.fr/serail/jcms/s1_107921/accueil;ce.0750704H@ac-paris.fr;Éducation nationale;;1877;2026-01-21;48.8844772461129, 2.307843373633904
0750679F;19750679300011;001;Paris;75;LG;lycée d'enseignement général;PAUL-VALERY;Lycée général et technologique Paul Valéry;public;;38 boulevard SOULT;75012;75112;Paris 12e Arrondissement;0144756770;0143438413;https://www.ac-paris.fr/serail/jcms/s2_1627631/fr/cite-scolaire-paul-valery;ce.0750679F@ac-paris.fr;Éducation nationale;;1970;2026-01-20;48.83984177110137, 2.4091788098407485
0750657G;19750657900014;001;Paris;75;LG;lycée d'enseignement général;MONTAIGNE;Lycée général Montaigne;public;;17 RUE AUGUSTE COMTE;75006;75106;Paris 6e Arrondissement;0144418323;0146331005;http://www.montaigne-paris.fr/;ce.0750657G@ac-paris.fr;Éducation nationale;;1885;2026-01-19;48.844236978189386, 2.3348315716616432
0754037F;78435349200019;001;Paris;75;LT PR;lycée d'enseignement technologique;FENELON-SAINTE-MARIE-LA-PLAINE-MONCEAU;Lycée technologique privé Fenelon Sup La Plaine Monceau;privé;lycée privé sous contrat Éducation nationale;9 boulevard de Courcelles;75008;75108;Paris 8e Arrondissement;0143875405;0143876166;http://www.plaine-monceau.fr/;ce.0754037F@ac-paris.fr;Éducation nationale;;;2026-03-12;48.88108476206447, 2.3159458444670573
0951728M;19951728500029;025;Versailles;95;LPO;lycée polyvalent;EDMOND-ROSTAND;Lycée polyvalent Edmond Rostand;public;;75 rue de Paris;95310;95572;Saint-Ouen-l'Aumône;0134485730;0134485732;http://www.lyc-rostand-st-ouen.ac-versailles.fr/;ce.0951728M@ac-versailles.fr;Éducation nationale;;1991;2026-03-12;49.039124824601416, 2.116900033641266
0920136Y;19920136900014;025;Versailles;92;LPO;lycée polyvalent;NEWTON-ENREA;Lycée polyvalent Newton-Enrea;public;;1 PLACE JULES VERNE;92110;92024;Clichy;0141067878;0147379032;https://www.lycee-newton.fr/;ce.0920136Y@ac-versailles.fr;Éducation nationale;Oui;1941;2026-01-16;48.90905297767566, 2.3068998920632153
